Probeset ID,N34 David Gene Symbol,UniGene ID,Ensembl,Entrez Gene,Alignments,Chromosomal Location,Gene Title,II1374 4way Venn 1.125 Fold Filter n_total= 1374,II359 RF ONEvs Other3 on 12589n Cxsect Gini n=359
201450_s_at,TIA1,Hs.413123 /// Hs.697347 /// Hs.743719,ENSG00000116001 /// OTTHUMG00000129644,7072,chr2:70438815-70475747 (-) // 99.49 // p13.3,chr2p13,TIA1 cytotoxic granule-associated RNA binding protein,1,0
201490_s_at,PPIF,Hs.381072 /// Hs.593100,ENSG00000108179 /// OTTHUMG00000018562,10105,chr10:81107236-81113748 (+) // 97.34 // q22.3,chr10q22-q23,peptidylprolyl isomerase F,1,0
201506_at,TGFBI,Hs.369397,ENSG00000120708 /// OTTHUMG00000163213,7045,chr5:135364697-135399507 (+) // 99.96 // q31.1,chr5q31,"transforming growth factor, beta-induced, 68kDa",1,0
201631_s_at,IER3,Hs.76095,ENSG00000137331 /// ENSG00000206478 /// ENSG00000227231 /// ENSG00000230128 /// ENSG00000235030 /// ENSG00000237155 /// OTTHUMG00000004845 /// OTTHUMG00000031265 /// OTTHUMG00000031563 /// OTTHUMG00000133723 /// OTTHUMG00000148950 /// OTTHUMG00000149228,8870,chr6:30710976-30712306 (-) // 98.78 // p21.33,chr6p21.3,immediate early response 3,1,0
201635_s_at,FXR1,Hs.478407,ENSG00000114416 /// OTTHUMG00000158138,8087,chr3:180630455-180694941 (+) // 96.54 // q26.33,chr3q28,"fragile X mental retardation, autosomal homolog 1",1,0
201668_x_at,MARCKS,Hs.519909 /// Hs.596044 /// Hs.713390,ENSG00000155130 /// OTTHUMG00000015406,4082,chr6:114178526-114182981 (+) // 84.0 // q21,chr6q22.2,myristoylated alanine-rich protein kinase C substrate,1,0
201689_s_at,TPD52,Hs.309921 /// Hs.368433 /// Hs.602620 /// Hs.613186,ENSG00000076554 /// OTTHUMG00000164565,7163,chr8:80947571-81083777 (-) // 97.78 // q21.13,chr8q21,tumor protein D52,1,0
201694_s_at,EGR1,Hs.326035,ENSG00000120738 /// OTTHUMG00000129197,1958,chr5:137801181-137805004 (+) // 91.0 // q31.2,chr5q31.1,early growth response 1,1,0
201711_x_at,RANBP2,Hs.199561 /// Hs.715056,ENSG00000153201 /// OTTHUMG00000130981,5903,chr2:109335936-109401296 (+) // 99.32 // q12.3,chr2q12.3,RAN binding protein 2,1,0
201732_s_at,CLCN3,Hs.481186 /// Hs.595439 /// Hs.670607 /// Hs.717491 /// Hs.736017,ENSG00000109572 /// OTTHUMG00000160973,1182,chr4:170541798-170644336 (+) // 92.3 // q33,chr4q33,"chloride channel, voltage-sensitive 3",1,0
201743_at,CD14,Hs.163867,ENSG00000170458 /// OTTHUMG00000129507,929,chr5:140011320-140012772 (-) // 99.34 // q31.3,chr5q31.1,CD14 molecule,1,0
201785_at,RNASE1,Hs.623499 /// Hs.78224,ENSG00000129538 /// OTTHUMG00000029603,6035,chr14:21269618-21270990 (-) // 46.42 // q11.2,chr14q11.2,"ribonuclease, RNase A family, 1 (pancreatic)",1,0
201868_s_at,TBL1X,Hs.495656,ENSG00000101849 /// OTTHUMG00000021117,6907,chrX:9433038-9687778 (+) // 94.77 // p22.31,chrXp22.3,transducin (beta)-like 1X-linked,1,1
201879_at,ARIH1,Hs.268787 /// Hs.614624 /// Hs.629162,ENSG00000166233 /// OTTHUMG00000133474,25820,chr15:72766666-72878896 (+) // 95.92 // q24.1,chr15q24,"ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)",1,0
202118_s_at,CPNE3,Hs.191219 /// Hs.685459 /// Hs.713733 /// Hs.714062,ENSG00000085719 /// OTTHUMG00000163725,8895,chr8:87526671-87573724 (+) // 93.81 // q21.3,chr8q21.3,copine III,1,1
202195_s_at,TMED5,Hs.482873 /// Hs.714024,ENSG00000117500 /// OTTHUMG00000010162,50999,chr1:93619906-93645940 (-) // 99.65 // p22.1,chr1pter-q31.3,transmembrane emp24 protein transport domain containing 5,1,0
202241_at,TRIB1,Hs.444947,ENSG00000173334 /// OTTHUMG00000165007,10221,chr8:126442871-126450643 (+) // 94.33 // q24.13,chr8q24.13,tribbles homolog 1 (Drosophila),1,0
202381_at,ADAM9,Hs.2442 /// Hs.591852 /// Hs.618683,ENSG00000168615 /// OTTHUMG00000159783,8754,chr8:38854504-38962520 (+) // 99.3 // p11.22,chr8p11.22,ADAM metallopeptidase domain 9,1,0
202388_at,RGS2,Hs.78944,ENSG00000116741 /// OTTHUMG00000035600,5997,chr1:192778170-192781403 (+) // 97.55 // q31.2,chr1q31,"regulator of G-protein signaling 2, 24kDa",1,1
202412_s_at,USP1,Hs.35086,ENSG00000162607 /// OTTHUMG00000008972,7398,chr1:62902382-62919996 (+) // 98.83 // p31.3,chr1p31.3,ubiquitin specific peptidase 1,1,1
202430_s_at,PLSCR1,Hs.130759 /// Hs.595419,ENSG00000188313 /// OTTHUMG00000159427,5359,chr3:146232967-146262496 (-) // 98.75 // q24,chr3q23,phospholipid scramblase 1,1,0
202435_s_at,CYP1B1,Hs.154654 /// Hs.643344 /// Hs.644076 /// Hs.696662 /// Hs.721112,ENSG00000138061 /// OTTHUMG00000100970,1545,chr2:38294651-38303710 (-) // 98.62 // p22.2,chr2p22.2,"cytochrome P450, family 1, subfamily B, polypeptide 1",1,0
202436_s_at,CYP1B1,Hs.154654 /// Hs.643344 /// Hs.644076 /// Hs.696662 /// Hs.721112,ENSG00000138061 /// OTTHUMG00000100970,1545,chr2:38294651-38303710 (-) // 98.62 // p22.2,chr2p22.2,"cytochrome P450, family 1, subfamily B, polypeptide 1",1,0
202437_s_at,CYP1B1,Hs.154654 /// Hs.643344 /// Hs.644076 /// Hs.696662 /// Hs.721112,ENSG00000138061 /// OTTHUMG00000100970,1545,chr2:38294745-38303292 (-) // 99.4 // p22.2,chr2p22.2,"cytochrome P450, family 1, subfamily B, polypeptide 1",1,0
202581_at,HSPA1A /// HSPA1B,Hs.274402 /// Hs.719966,ENSG00000204388 /// ENSG00000212866 /// ENSG00000224501 /// ENSG00000231555 /// ENSG00000232804 /// OTTHUMG00000004926 /// OTTHUMG00000031202 /// OTTHUMG00000031503 /// OTTHUMG00000148800 /// OTTHUMG00000149035,3303 /// 3304,chr6:31795575-31798031 (+) // 96.87 // p21.33,chr6p21.3,heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B,1,1
202600_s_at,NRIP1,Hs.155017 /// Hs.644641,ENSG00000180530 /// OTTHUMG00000074323,8204,chr21:16333560-16437255 (-) // 96.06 // q11.2,chr21q11.2,nuclear receptor interacting protein 1,1,1
202601_s_at,HTATSF1,Hs.204475 /// Hs.605934,ENSG00000102241 /// OTTHUMG00000022510,27336,chrX:135579689-135594505 (+) // 97.06 // q26.3,chrXq26.3,HIV-1 Tat specific factor 1,1,0
202609_at,EPS8,Hs.591160 /// Hs.609259,ENSG00000151491 /// OTTHUMG00000168787,2059,chr12:15773097-15942282 (-) // 99.95 // p12.3,chr12p12.3,epidermal growth factor receptor pathway substrate 8,1,0
202759_s_at,AKAP2 /// PALM2-AKAP2,Hs.591908 /// Hs.604711 /// Hs.733138,ENSG00000157654 /// ENSG00000241978 /// OTTHUMG00000156811 /// OTTHUMG00000156812,11217 /// 445815,chr9:112542576-112934512 (+) // 93.52 // q31.3,chr9q31.3,A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 readthrough,1,0
202760_s_at,AKAP2 /// PALM2-AKAP2,Hs.591908 /// Hs.604711 /// Hs.733138,ENSG00000157654 /// ENSG00000241978 /// OTTHUMG00000156811 /// OTTHUMG00000156812,11217 /// 445815,chr9:112542576-112932482 (+) // 96.68 // q31.3,chr9q31.3,A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 readthrough,1,1
202814_s_at,HEXIM1,Hs.15299 /// Hs.721186 /// Hs.741758,ENSG00000186834 /// OTTHUMG00000180112,10614,chr17:43225841-43229511 (+) // 90.45 // q21.31,chr17q21.31,hexamethylene bis-acetamide inducible 1,1,0
202833_s_at,SERPINA1,Hs.525557,ENSG00000197249 /// OTTHUMG00000150355,5265,chr14:94844709-94849578 (-) // 98.22 // q32.13,chr14q32.1,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1",1,0
202855_s_at,SLC16A3,Hs.500761 /// Hs.641748,ENSG00000141526 /// OTTHUMG00000178832,9123,chr17:80193855-80197355 (+) // 94.51 // q25.3,chr17q25,"solute carrier family 16, member 3 (monocarboxylic acid transporter 4)",1,0
202856_s_at,SLC16A3,Hs.500761 /// Hs.641748,ENSG00000141526 /// OTTHUMG00000178832,9123,chr17:80193855-80197351 (+) // 97.12 // q25.3,chr17q25,"solute carrier family 16, member 3 (monocarboxylic acid transporter 4)",1,0
202869_at,OAS1,Hs.524760,---,4938,chr12:113344811-113357707 (+) // 88.74 // q24.13,chr12q24.2,"2'-5'-oligoadenylate synthetase 1, 40/46kDa",1,0
202876_s_at,PBX2,Hs.509545 /// Hs.739991 /// Hs.742153,ENSG00000204304 /// ENSG00000206315 /// ENSG00000224952 /// ENSG00000225987 /// ENSG00000232005 /// ENSG00000236353 /// ENSG00000237344 /// OTTHUMG00000012735 /// OTTHUMG00000031116 /// OTTHUMG00000031396 /// OTTHUMG00000137674 /// OTTHUMG00000148811 /// OTTHUMG00000149321 /// OTTHUMG00000149569,5089,chr3:142895167-142898095 (+) // 94.75 // q24 /// chr6:32152517-32157692 (-) // 96.66 // p21.32,chr6p21.3,pre-B-cell leukemia homeobox 2,1,0
202877_s_at,CD93,Hs.708559 /// Hs.97199,ENSG00000125810 /// OTTHUMG00000032058,22918,chr20:23059996-23066977 (-) // 98.54 // p11.21,chr20p11.21,CD93 molecule,1,0
202878_s_at,CD93,Hs.708559 /// Hs.97199,ENSG00000125810 /// OTTHUMG00000032058,22918,chr20:23059994-23066977 (-) // 98.64 // p11.21,chr20p11.21,CD93 molecule,1,0
202887_s_at,DDIT4,Hs.523012 /// Hs.737859 /// Hs.741387 /// Hs.744875,ENSG00000168209 /// OTTHUMG00000183961,54541,chr10:74033681-74035793 (+) // 98.86 // q22.1,chr10q22.1,DNA-damage-inducible transcript 4,1,0
202888_s_at,ANPEP,Hs.1239,ENSG00000166825 /// OTTHUMG00000149814,290,chr15:90328126-90349934 (-) // 98.4 // q26.1,chr15q25-q26,alanyl (membrane) aminopeptidase,1,1
202912_at,ADM,Hs.441047,ENSG00000148926 /// OTTHUMG00000165907,133,chr11:10326641-10328923 (+) // 97.1 // p15.4,chr11p15.4,adrenomedullin,1,0
202917_s_at,S100A8,Hs.416073,ENSG00000143546 /// OTTHUMG00000013124,6279,chr1:153362508-153363549 (-) // 95.05 // q21.3,chr1q21,S100 calcium binding protein A8,1,0
202940_at,WNK1,Hs.356604 /// Hs.744906,ENSG00000060237 /// OTTHUMG00000090321,65125,chr12:989373-1011299 (+) // 97.93 // p13.33,chr12p13.3,WNK lysine deficient protein kinase 1,1,0
203231_s_at,ATXN1,Hs.434961 /// Hs.608641 /// Hs.609470 /// Hs.712773 /// Hs.712843 /// Hs.713053 /// Hs.733997,ENSG00000124788 /// OTTHUMG00000014303,6310,chr6:16299342-16761681 (-) // 97.22 // p22.3,chr6p23,ataxin 1,1,0
203394_s_at,HES1,Hs.250666 /// Hs.601540,ENSG00000114315 /// OTTHUMG00000155984,3280,chr3:193853705-193856396 (+) // 92.36 // q29,chr3q28-q29,"hairy and enhancer of split 1, (Drosophila)",1,0
203535_at,S100A9,Hs.112405,ENSG00000163220 /// OTTHUMG00000013125,6280,chr1:153330329-153333499 (+) // 99.65 // q21.3,chr1q21,S100 calcium binding protein A9,1,0
203548_s_at,LPL,Hs.180878 /// Hs.619595,ENSG00000175445 /// OTTHUMG00000036645,4023,chr8:19796752-19824769 (+) // 99.67 // p21.3,chr8p22,lipoprotein lipase,1,0
203607_at,INPP5F,Hs.369755 /// Hs.595031 /// Hs.708423,ENSG00000198825 /// OTTHUMG00000019158,22876,chr10:121485608-121588652 (+) // 94.05 // q26.11,chr10q26.11,inositol polyphosphate-5-phosphatase F,1,0
203887_s_at,THBD,Hs.2030,ENSG00000178726 /// OTTHUMG00000032053,7056,chr20:23026634-23030683 (-) // 93.63 // p11.21,chr20p11.2,thrombomodulin,1,0
203888_at,THBD,Hs.2030,ENSG00000178726 /// OTTHUMG00000032053,7056,chr20:23026634-23030683 (-) // 93.63 // p11.21,chr20p11.2,thrombomodulin,1,0
203889_at,SCG5,Hs.156540,ENSG00000166922 /// OTTHUMG00000159447,6447,chr15:32935785-32989298 (+) // 98.26 // q13.3,chr15q13-q14,secretogranin V (7B2 protein),1,0
203940_s_at,VASH1,Hs.525479 /// Hs.603576,ENSG00000071246 /// OTTHUMG00000171493,22846,chr14:77228779-77249359 (+) // 92.12 // q24.3,chr14q24.3,vasohibin 1,1,0
203958_s_at,ZBTB40,Hs.418966 /// Hs.609852,ENSG00000184677 /// OTTHUMG00000002897,9923,chr1:22838815-22857644 (+) // 90.03 // p36.12,chr1p36,zinc finger and BTB domain containing 40,1,0
203980_at,FABP4,Hs.391561,ENSG00000170323 /// OTTHUMG00000164602,2167,chr8:82390925-82395449 (-) // 99.68 // q21.13,chr8q21,"fatty acid binding protein 4, adipocyte",1,0
204011_at,SPRY2,Hs.18676 /// Hs.595238,ENSG00000136158 /// OTTHUMG00000017140,10253,chr13:80910113-80915086 (-) // 96.3 // q31.1,chr13q31.1,sprouty homolog 2 (Drosophila),1,0
204014_at,DUSP4,Hs.417962 /// Hs.600838 /// Hs.619323,ENSG00000120875 /// OTTHUMG00000133395,1846,chr8:29193619-29208041 (-) // 99.32 // p12,chr8p12-p11,dual specificity phosphatase 4,1,1
204015_s_at,DUSP4,Hs.417962 /// Hs.600838 /// Hs.619323,ENSG00000120875 /// OTTHUMG00000133395,1846,chr8:29194063-29207954 (-) // 98.54 // p12,chr8p12-p11,dual specificity phosphatase 4,1,1
204058_at,ME1,Hs.21160 /// Hs.600913,ENSG00000065833 /// OTTHUMG00000015111,4199,chr6:83920111-84140787 (-) // 96.8 // q14.2,chr6q12,"malic enzyme 1, NADP(+)-dependent, cytosolic",1,0
204059_s_at,ME1,Hs.21160 /// Hs.600913,ENSG00000065833 /// OTTHUMG00000015111,4199,chr6:83921256-84140780 (-) // 95.75 // q14.2,chr6q12,"malic enzyme 1, NADP(+)-dependent, cytosolic",1,1
204088_at,P2RX4,Hs.321709,ENSG00000135124 /// OTTHUMG00000169155,5025,chr12:121647941-121671547 (+) // 99.78 // q24.31,chr12q24.32,"purinergic receptor P2X, ligand-gated ion channel, 4",1,0
204103_at,CCL4,Hs.75703,ENSG00000129277 /// OTTHUMG00000133004,6351,chr17:34431219-34433014 (+) // 95.26 // q12,chr17q12,chemokine (C-C motif) ligand 4,1,0
204112_s_at,HNMT,Hs.42151 /// Hs.593840 /// Hs.738792,ENSG00000150540 /// OTTHUMG00000131751,3176,chr2:138721807-138772236 (+) // 92.56 // q22.1,chr2q22.1,histamine N-methyltransferase,1,0
204122_at,TYROBP,Hs.515369,ENSG00000011600 /// OTTHUMG00000181739,7305,chr19:36395309-36399186 (-) // 92.55 // q13.12,chr19q13.1,TYRO protein tyrosine kinase binding protein,1,0
204151_x_at,AKR1C1,Hs.460260 /// Hs.567256 /// Hs.677669 /// Hs.715618,ENSG00000187134 /// ENSG00000266592 /// OTTHUMG00000017580,1645,chr10:5005631-5020157 (+) // 99.34 // p15.1 /// chr10:5031965-5046032 (-) // 97.1 // p15.1,chr10p15-p14,"aldo-keto reductase family 1, member C1",1,1
204165_at,WASF1,Hs.706833 /// Hs.75850,ENSG00000112290 /// OTTHUMG00000015357,8936,chr6:110421021-110499916 (-) // 99.96 // q21,chr6q21,"WAS protein family, member 1",1,1
204180_s_at,ZBTB43,Hs.355581 /// Hs.609074 /// Hs.624604,ENSG00000169155 /// OTTHUMG00000020693,23099,chr9:129593922-129599954 (+) // 81.61 // q33.3,chr9q33.3,zinc finger and BTB domain containing 43,1,0
204192_at,CD37,Hs.166556 /// Hs.733534,ENSG00000104894 /// OTTHUMG00000183183,951,chr19:49838734-49843801 (+) // 99.47 // q13.33,chr19q13.3,CD37 molecule,1,0
204232_at,FCER1G,Hs.433300,ENSG00000158869 /// OTTHUMG00000034343,2207,chr1:161185086-161189038 (+) // 100.0 // q23.3,chr1q23,"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide",1,0
204270_at,SKI,Hs.656507 /// Hs.672392,ENSG00000157933 /// OTTHUMG00000001407,6497,chr1:2160133-2241006 (+) // 96.42 // p36.33,chr1p36.33,v-ski sarcoma viral oncogene homolog (avian),1,1
204470_at,CXCL1,Hs.789,ENSG00000163739 /// OTTHUMG00000160866,2919,chr4:74735108-74736953 (+) // 100.0 // q13.3,chr4q21,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",1,1
204475_at,MMP1,Hs.572378 /// Hs.83169,ENSG00000196611 /// OTTHUMG00000048192,4312,chr11:102660650-102668894 (-) // 99.9 // q22.2,chr11q22.3,matrix metallopeptidase 1 (interstitial collagenase),1,0
204560_at,FKBP5,Hs.407190 /// Hs.670361,ENSG00000096060 /// OTTHUMG00000014576,2289,chr6:35543444-35656714 (-) // 100.0 // p21.31,chr6p21.31,FK506 binding protein 5,1,0
204619_s_at,VCAN,Hs.643801 /// Hs.653683 /// Hs.715773,ENSG00000038427 /// OTTHUMG00000131321,1462,chr5:82767478-82878121 (+) // 98.58 // q14.2,chr5q14.3,versican,1,0
204620_s_at,VCAN,Hs.643801 /// Hs.653683 /// Hs.715773,ENSG00000038427 /// OTTHUMG00000131321,1462,chr5:82767582-82876981 (+) // 99.65 // q14.2,chr5q14.3,versican,1,0
204628_s_at,ITGB3,Hs.218040 /// Hs.732035,ENSG00000259207 /// OTTHUMG00000171956,3690,chr17:45331211-45389182 (+) // 95.8 // q21.32,chr17q21.32,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",1,0
204686_at,IRS1,Hs.471508,ENSG00000169047 /// OTTHUMG00000133179,3667,chr2:227599937-227664475 (-) // 97.31 // q36.3,chr2q36,insulin receptor substrate 1,1,0
204748_at,PTGS2,Hs.196384,ENSG00000073756 /// OTTHUMG00000035473,5743,chr1:186640968-186649556 (-) // 97.42 // q31.1,chr1q25.2-q25.3,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),1,0
204794_at,DUSP2,Hs.1183,ENSG00000158050 /// OTTHUMG00000130456,1844,chr2:96808916-96811179 (-) // 97.0 // q11.2,chr2q11,dual specificity phosphatase 2,1,0
204858_s_at,TYMP,Hs.180903 /// Hs.685254,ENSG00000025708 /// OTTHUMG00000150249,1890,chr22:50964180-50968455 (-) // 99.06 // q13.33,chr22q13.33,thymidine phosphorylase,1,1
204863_s_at,IL6ST,Hs.462308 /// Hs.532082 /// Hs.603484 /// Hs.605415 /// Hs.617621 /// Hs.706627 /// Hs.708507,ENSG00000134352 /// OTTHUMG00000097043,3572,chr5:55235751-55290772 (-) // 95.76 // q11.2,chr5q11.2,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",1,0
204864_s_at,IL6ST,Hs.462308 /// Hs.532082 /// Hs.603484 /// Hs.605415 /// Hs.617621 /// Hs.706627 /// Hs.708507,ENSG00000134352 /// OTTHUMG00000097043,3572,chr5:55236836-55290763 (-) // 97.12 // q11.2,chr5q11.2,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",1,0
204866_at,PHF16,Hs.371977,ENSG00000102221 /// OTTHUMG00000021431,9767,chrX:46771867-46920640 (+) // 96.92 // p11.23,chrXp11.23,PHD finger protein 16,1,0
204924_at,TLR2,Hs.519033 /// Hs.623716,ENSG00000137462 /// OTTHUMG00000161525,7097,chr4:154624037-154626530 (+) // 95.77 // q31.3,chr4q32,toll-like receptor 2,1,0
204956_at,MTAP,Hs.193268,---,4507,chr9:21802634-21863282 (+) // 73.54 // p21.3,chr9p21,methylthioadenosine phosphorylase,1,0
204971_at,CSTA,Hs.518198,ENSG00000121552 /// OTTHUMG00000159488,1475,chr3:122044094-122060511 (+) // 99.77 // q21.1,chr3q21,cystatin A (stefin A),1,0
204995_at,CDK5R1,Hs.500015 /// Hs.662611 /// Hs.714132,ENSG00000176749 /// OTTHUMG00000132814,8851,chr17:30813769-30818274 (+) // 92.16 // q11.2,chr17q11.2,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)",1,0
205010_at,GNL3L,Hs.654677,ENSG00000130119 /// OTTHUMG00000021629,54552,chrX:54556643-54587504 (+) // 86.68 // p11.22,chrXp11.22,guanine nucleotide binding protein-like 3 (nucleolar)-like,1,0
205067_at,IL1B,Hs.126256 /// Hs.700961,ENSG00000125538 /// OTTHUMG00000131344,3553,chr2:113587336-113594352 (-) // 97.26 // q13,chr2q14,"interleukin 1, beta",1,1
205098_at,CCR1,Hs.301921 /// Hs.610546,ENSG00000163823 /// OTTHUMG00000133451,1230,chr3:46243201-46249815 (-) // 89.34 // p21.31,chr3p21,chemokine (C-C motif) receptor 1,1,0
205114_s_at,CCL3 /// CCL3L1 /// CCL3L3 /// LOC101060267,Hs.454713 /// Hs.512683 /// Hs.514107,ENSG00000006075 /// ENSG00000205021 /// ENSG00000256515 /// ENSG00000260199 /// OTTHUMG00000132996 /// OTTHUMG00000133000 /// OTTHUMG00000175669 /// OTTHUMG00000180318,6348 /// 6349 /// 414062 /// 101060267,chr17:34415604-34417487 (-) // 93.56 // q12,chr17q12 /// chr17q21.1,chemokine (C-C motif) ligand 3 /// chemokine (C-C motif) ligand 3-like 1 /// chemokine (C-C motif) ligand 3-like 3 /// c-C motif chemokine 3-like,1,1
205119_s_at,FPR1,Hs.753,ENSG00000171051 /// OTTHUMG00000183500,2357,chr19:52249026-52255116 (-) // 100.0 // q13.41,chr19q13.4,formyl peptide receptor 1,1,0
205126_at,VRK2,Hs.715298 /// Hs.744058,ENSG00000028116 /// OTTHUMG00000129348,7444,chr2:58273831-58387003 (+) // 99.84 // p16.1,chr2p16.1,vaccinia related kinase 2,1,0
205174_s_at,QPCT,Hs.592583 /// Hs.79033,ENSG00000115828 /// OTTHUMG00000100963,25797,chr2:37571868-37600464 (+) // 97.01 // p22.2,chr2p22.2,glutaminyl-peptide cyclotransferase,1,1
205197_s_at,ATP7A,Hs.496414 /// Hs.619640,ENSG00000165240 /// ENSG00000269395 /// OTTHUMG00000021885,538,chrX:77166208-77305891 (+) // 93.82 // q21.1,chrXq21.1,"ATPase, Cu++ transporting, alpha polypeptide",1,0
205237_at,FCN1,Hs.440898,ENSG00000085265 /// OTTHUMG00000020895,2219,chr9:137801435-137809809 (-) // 98.99 // q34.3,chr9q34,ficolin (collagen/fibrinogen domain containing) 1,1,1
205238_at,TRMT2B,Hs.496501,ENSG00000188917 /// OTTHUMG00000022017,79979,chrX:100264547-100306918 (-) // 83.76 // q22.1,chrXq22.1,tRNA methyltransferase 2 homolog B (S. cerevisiae),1,0
205267_at,POU2AF1,Hs.654525 /// Hs.733573 /// Hs.739353,ENSG00000110777 /// OTTHUMG00000166659,5450,chr11:111222982-111250417 (-) // 79.57 // q23.1,chr11q23.1,POU class 2 associating factor 1,1,0
205285_s_at,FYB,Hs.370503 /// Hs.623715 /// Hs.628155,ENSG00000082074 /// OTTHUMG00000162071,2533,chr5:39107221-39219664 (-) // 94.49 // p13.1,chr5p13.1,FYN binding protein,1,1
205411_at,STK4,Hs.472838 /// Hs.700137,ENSG00000101109 /// OTTHUMG00000033059,6789,chr20:43595176-43704243 (+) // 97.15 // q13.12,chr20q11.2-q13.2,serine/threonine kinase 4,1,1
205476_at,CCL20,Hs.75498,ENSG00000115009 /// OTTHUMG00000133189,6364,chr2:228678569-228682250 (+) // 99.87 // q36.3,chr2q36.3,chemokine (C-C motif) ligand 20,1,0
205495_s_at,GNLY,Hs.105806,ENSG00000115523 /// OTTHUMG00000130179,10578,chr2:85921413-85925869 (+) // 100.0 // p11.2,chr2p11.2,granulysin,1,1
205576_at,SERPIND1,Hs.474270,ENSG00000099937 /// OTTHUMG00000150755,3053,chr22:21128386-21142008 (+) // 91.88 // q11.21,chr22q11.21,"serpin peptidase inhibitor, clade D (heparin cofactor), member 1",1,0
205594_at,ZNF652,Hs.463375 /// Hs.739293,ENSG00000198740 /// OTTHUMG00000161322,22834,chr17:47372485-47439835 (-) // 86.7 // q21.32,chr17q21.32,zinc finger protein 652,1,0
205596_s_at,SMURF2,Hs.515011 /// Hs.635051 /// Hs.743986,ENSG00000108854 /// ENSG00000262909 /// OTTHUMG00000179189,64750,chr17:62541482-62658186 (-) // 97.63 // q23.3,chr17q22-q23,SMAD specific E3 ubiquitin protein ligase 2,1,0
205684_s_at,DENND4C,Hs.249591 /// Hs.701821 /// Hs.744311,ENSG00000137145 /// OTTHUMG00000019627,55667,chr9:19288621-19372856 (+) // 89.24 // p22.1,chr9p22.1,DENN/MADD domain containing 4C,1,0
205727_at,TEP1,Hs.508835 /// Hs.604805,ENSG00000129566 /// OTTHUMG00000029515,7011,chr14:20835925-20876624 (-) // 96.77 // q11.2,chr14q11.2,telomerase-associated protein 1,1,0
205731_s_at,NCOA2,Hs.446678 /// Hs.595378 /// Hs.596184 /// Hs.618025 /// Hs.727231,ENSG00000140396 /// OTTHUMG00000164671,10499,chr8:71024224-71316020 (-) // 97.57 // q13.3,chr8q13.3,nuclear receptor coactivator 2,1,1
205767_at,EREG,Hs.115263 /// Hs.717956,ENSG00000124882 /// OTTHUMG00000130005,2069,chr4:75230859-75254477 (+) // 83.25 // q13.3,chr4q13.3,epiregulin,1,0
205787_x_at,LOC441155 /// ZC3H11A,Hs.448347 /// Hs.532399 /// Hs.546686,ENSG00000058673 /// OTTHUMG00000035909,9877 /// 441155,chr1:203786051-203823246 (+) // 98.28 // q32.1 /// chr6:66012269-66016551 (+) // 95.26 // q12 /// chr1:219781269-219785549 (-) // 95.17 // q41,chr1q32.1 /// chr6q12,zinc finger CCCH-type domain-containing-like /// zinc finger CCCH-type containing 11A,1,1
205809_s_at,WASL,Hs.613761 /// Hs.731519,ENSG00000106299 /// OTTHUMG00000157346,8976,chr7:123324216-123389116 (-) // 93.68 // q31.32,chr7q31.3,Wiskott-Aldrich syndrome-like,1,0
205822_s_at,HMGCS1,Hs.397729 /// Hs.602526,ENSG00000112972 /// OTTHUMG00000162231,3157,chr5:43291166-43299079 (-) // 99.21 // p12,chr5p14-p13,3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble),1,0
205885_s_at,ITGA4,Hs.440955,ENSG00000115232 /// OTTHUMG00000154212,3676,chr2:182321951-182400287 (+) // 99.61 // q31.3,chr2q31.3,"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",1,1
205934_at,PLCL1,Hs.153322,ENSG00000115896 /// OTTHUMG00000132750,5334,chr2:198948478-199013048 (+) // 94.41 // q33.1,chr2q33,phospholipase C-like 1,1,0
205966_at,TAF13,Hs.607353 /// Hs.632426,ENSG00000197780 /// OTTHUMG00000042363,6884,chr1:109607117-109618580 (-) // 100.0 // p13.3,chr1p13.3,"TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa",1,0
206025_s_at,TNFAIP6,Hs.437322 /// Hs.615156,ENSG00000123610 /// OTTHUMG00000131884,7130,chr2:152214105-152236553 (+) // 70.63 // q23.3,chr2q23.3,"tumor necrosis factor, alpha-induced protein 6",1,0
206026_s_at,TNFAIP6,Hs.437322 /// Hs.615156,ENSG00000123610 /// OTTHUMG00000131884,7130,chr2:152214119-152236553 (+) // 69.45 // q23.3,chr2q23.3,"tumor necrosis factor, alpha-induced protein 6",1,0
